,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
64,64,9063,A1_11378,HHA1_11378,31.0,M,A1_11378003,1.0,4.0,M,2.0,4.0,4.0,2020-03-26,4,26,3,20,3.0,1.0,6
65,65,9064,A1_11378,HHA1_11378,31.0,M,A1_11378004,,,,2.0,4.0,4.0,2020-03-26,4,26,3,20,,6.0,6
66,66,9065,A1_11378,HHA1_11378,31.0,M,A1_11378005,,,,2.0,4.0,4.0,2020-03-26,4,26,3,20,,14.0,6
67,67,9066,A1_11378,HHA1_11378,31.0,M,A1_11378006,,,,2.0,4.0,4.0,2020-03-26,4,26,3,20,,4.0,6
68,68,9067,A1_11379,HHA1_11379,18.0,M,A1_11379001,20.0,24.0,F,1.0,5.0,2.0,2020-03-26,4,26,3,20,4.0,24.0,1
69,69,9068,A1_11380,HHA1_11380,22.0,F,A1_11380001,15.0,19.0,F,1.0,5.0,8.0,2020-03-26,4,26,3,20,4.0,15.0,7
70,70,9069,A1_11380,HHA1_11380,22.0,F,A1_11380002,45.0,54.0,F,1.0,5.0,8.0,2020-03-26,4,26,3,20,9.0,49.0,7
71,71,9070,A1_11380,HHA1_11380,22.0,F,A1_11380003,45.0,54.0,M,1.0,5.0,8.0,2020-03-26,4,26,3,20,9.0,46.0,7
72,72,9071,A1_11380,HHA1_11380,22.0,F,A1_11380004,15.0,19.0,F,1.0,5.0,8.0,2020-03-26,4,26,3,20,4.0,17.0,7
73,73,9072,A1_11380,HHA1_11380,22.0,F,A1_11380005,10.0,14.0,F,1.0,5.0,8.0,2020-03-26,4,26,3,20,4.0,13.0,7
74,74,9073,A1_11380,HHA1_11380,22.0,F,A1_11380006,10.0,14.0,M,1.0,5.0,8.0,2020-03-26,4,26,3,20,4.0,12.0,7
75,75,9074,A1_11380,HHA1_11380,22.0,F,A1_11380007,1.0,4.0,M,1.0,5.0,8.0,2020-03-26,4,26,3,20,3.0,3.0,7
76,76,9075,A1_11381,HHA1_11381,25.0,M,A1_11381001,45.0,54.0,M,2.0,4.0,4.0,2020-03-26,4,26,3,20,9.0,54.0,3
77,77,9076,A1_11381,HHA1_11381,25.0,M,A1_11381002,55.0,64.0,F,2.0,4.0,4.0,2020-03-26,4,26,3,20,9.0,62.0,3
78,78,9077,A1_11381,HHA1_11381,25.0,M,A1_11381003,20.0,24.0,M,2.0,5.0,4.0,2020-03-26,4,26,3,20,4.0,20.0,3
79,79,9078,A1_11382,HHA1_11382,20.0,F,A1_11382001,15.0,19.0,F,2.0,5.0,3.0,2020-03-28,6,28,3,20,4.0,19.0,3
80,80,9079,A1_11382,HHA1_11382,20.0,F,A1_11382002,35.0,44.0,F,2.0,5.0,3.0,2020-03-28,6,28,3,20,9.0,35.0,3
81,81,9080,A1_11382,HHA1_11382,20.0,F,A1_11382003,45.0,54.0,M,2.0,5.0,3.0,2020-03-28,6,28,3,20,9.0,45.0,3
82,82,9081,A1_11383,HHA1_11383,21.0,F,A1_11383001,,,F,2.0,1.0,5.0,2020-03-26,4,26,3,20,,39.0,1
83,83,9082,A1_11384,HHA1_11384,28.0,F,A1_11384001,20.0,24.0,F,1.0,5.0,3.0,2020-03-27,5,27,3,20,4.0,20.0,2
84,84,9083,A1_11384,HHA1_11384,28.0,F,A1_11384002,20.0,24.0,M,1.0,5.0,3.0,2020-03-27,5,27,3,20,4.0,24.0,2
85,85,9084,A1_11385,HHA1_11385,35.0,F,A1_11385001,25.0,34.0,F,1.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,27.0,2
86,86,9085,A1_11385,HHA1_11385,35.0,F,A1_11385002,25.0,34.0,M,1.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,27.0,2
87,87,9086,A1_11386,HHA1_11386,25.0,F,A1_11386001,65.0,69.0,M,1.0,5.0,2.0,2020-03-27,5,27,3,20,4.0,67.0,1
88,88,9087,A1_11387,HHA1_11387,21.0,F,A1_11387001,55.0,64.0,F,1.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,56.0,2
89,89,9088,A1_11387,HHA1_11387,21.0,F,A1_11387002,55.0,64.0,M,1.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,64.0,2
90,90,9089,A1_11388,HHA1_11388,34.0,F,A1_11388001,15.0,19.0,M,1.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,17.0,22
91,91,9090,A1_11388,HHA1_11388,34.0,F,A1_11388002,5.0,9.0,F,1.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,6.0,22
92,92,9091,A1_11388,HHA1_11388,34.0,F,A1_11388003,10.0,14.0,M,2.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,14.0,22
93,93,9092,A1_11388,HHA1_11388,34.0,F,A1_11388004,25.0,34.0,F,2.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,32.0,22
94,94,9093,A1_11388,HHA1_11388,34.0,F,A1_11388005,25.0,34.0,F,2.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,32.0,22
95,95,9094,A1_11388,HHA1_11388,34.0,F,A1_11388006,10.0,14.0,M,2.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,11.0,22
96,96,9095,A1_11388,HHA1_11388,34.0,F,A1_11388007,20.0,24.0,F,2.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,23.0,22
97,97,9096,A1_11388,HHA1_11388,34.0,F,A1_11388008,,,F,2.0,5.0,5.0,2020-03-28,6,28,3,20,,94.0,22
98,98,9097,A1_11388,HHA1_11388,34.0,F,A1_11388009,25.0,34.0,M,1.0,5.0,5.0,2020-03-28,6,28,3,20,9.0,31.0,22
99,99,9098,A1_11388,HHA1_11388,34.0,F,A1_11388010,35.0,44.0,F,1.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,35.0,22
100,100,9099,A1_11388,HHA1_11388,34.0,F,A1_11388011,65.0,69.0,F,2.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,66.0,22
101,101,9100,A1_11388,HHA1_11388,34.0,F,A1_11388012,25.0,34.0,F,2.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,26.0,22
102,102,9101,A1_11388,HHA1_11388,34.0,F,A1_11388013,15.0,19.0,F,2.0,5.0,5.0,2020-03-28,6,28,3,20,4.0,18.0,22
103,103,9102,A1_11388,HHA1_11388,34.0,F,A1_11388014,75.0,79.0,M,2.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,77.0,22
104,104,9103,A1_11388,HHA1_11388,34.0,F,A1_11388015,10.0,14.0,M,2.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,14.0,22
105,105,9104,A1_11388,HHA1_11388,34.0,F,A1_11388016,25.0,34.0,F,1.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,28.0,22
106,106,9105,A1_11388,HHA1_11388,34.0,F,A1_11388017,35.0,44.0,F,1.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,43.0,22
107,107,9106,A1_11388,HHA1_11388,34.0,F,A1_11388018,25.0,34.0,other,1.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,27.0,22
108,108,9107,A1_11388,HHA1_11388,34.0,F,A1_11388019,45.0,54.0,F,1.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,51.0,22
109,109,9108,A1_11388,HHA1_11388,34.0,F,A1_11388020,10.0,14.0,M,1.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,14.0,22
110,110,9109,A1_11388,HHA1_11388,34.0,F,A1_11388021,75.0,79.0,F,2.0,4.0,5.0,2020-03-28,6,28,3,20,4.0,79.0,22
111,111,9110,A1_11388,HHA1_11388,34.0,F,A1_11388022,45.0,54.0,F,1.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,50.0,22
112,112,9111,A1_11389,HHA1_11389,23.0,M,A1_11389001,25.0,34.0,F,1.0,5.0,2.0,2020-03-26,4,26,3,20,9.0,27.0,3
113,113,9112,A1_11389,HHA1_11389,23.0,M,A1_11389002,55.0,64.0,F,2.0,2.0,2.0,2020-03-26,4,26,3,20,9.0,64.0,3
114,114,9113,A1_11389,HHA1_11389,23.0,M,A1_11389003,55.0,64.0,M,2.0,2.0,2.0,2020-03-26,4,26,3,20,9.0,62.0,3
115,115,9114,A1_11390,HHA1_11390,36.0,M,A1_11390001,25.0,34.0,M,1.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,30.0,7
116,116,9115,A1_11390,HHA1_11390,36.0,M,A1_11390002,25.0,34.0,F,1.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,27.0,7
117,117,9116,A1_11390,HHA1_11390,36.0,M,A1_11390003,45.0,54.0,M,2.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,53.0,7
118,118,9117,A1_11390,HHA1_11390,36.0,M,A1_11390004,45.0,54.0,M,2.0,4.0,3.0,2020-03-26,4,26,3,20,9.0,52.0,7
119,119,9118,A1_11390,HHA1_11390,36.0,M,A1_11390005,20.0,24.0,M,2.0,3.0,3.0,2020-03-26,4,26,3,20,4.0,24.0,7
120,120,9119,A1_11390,HHA1_11390,36.0,M,A1_11390006,45.0,54.0,M,2.0,3.0,3.0,2020-03-26,4,26,3,20,9.0,54.0,7
121,121,9120,A1_11390,HHA1_11390,36.0,M,A1_11390007,25.0,34.0,M,2.0,2.0,3.0,2020-03-26,4,26,3,20,9.0,28.0,7
122,122,9121,A1_11391,HHA1_11391,57.0,M,A1_11391001,75.0,79.0,F,2.0,3.0,2.0,2020-03-26,4,26,3,20,4.0,75.0,2
123,123,9122,A1_11391,HHA1_11391,57.0,M,A1_11391002,85.0,100.0,M,2.0,4.0,2.0,2020-03-26,4,26,3,20,15.0,91.0,2
124,124,9123,A1_11392,HHA1_11392,67.0,M,A1_11392001,35.0,44.0,M,2.0,5.0,5.0,2020-03-27,5,27,3,20,9.0,35.0,5
125,125,9124,A1_11392,HHA1_11392,67.0,M,A1_11392002,35.0,44.0,F,2.0,5.0,5.0,2020-03-27,5,27,3,20,9.0,39.0,5
126,126,9125,A1_11392,HHA1_11392,67.0,M,A1_11392003,1.0,4.0,F,2.0,5.0,5.0,2020-03-27,5,27,3,20,3.0,1.0,5
127,127,9126,A1_11392,HHA1_11392,67.0,M,A1_11392004,1.0,4.0,M,1.0,5.0,5.0,2020-03-27,5,27,3,20,3.0,4.0,5
128,128,9127,A1_11392,HHA1_11392,67.0,M,A1_11392005,,,,2.0,1.0,5.0,2020-03-27,5,27,3,20,,9.0,5
129,129,9128,A1_11393,HHA1_11393,67.0,F,A1_11393001,55.0,64.0,M,1.0,5.0,2.0,2020-03-27,5,27,3,20,9.0,61.0,1
130,130,9129,A1_11394,HHA1_11394,24.0,F,A1_11394001,55.0,64.0,F,2.0,5.0,4.0,2020-03-26,4,26,3,20,9.0,55.0,3
131,131,9130,A1_11394,HHA1_11394,24.0,F,A1_11394002,55.0,64.0,M,2.0,4.0,4.0,2020-03-26,4,26,3,20,9.0,58.0,3
132,132,9131,A1_11394,HHA1_11394,24.0,F,A1_11394003,10.0,14.0,F,1.0,5.0,4.0,2020-03-26,4,26,3,20,4.0,11.0,3
133,133,9132,A1_11395,HHA1_11395,32.0,F,A1_11395001,20.0,24.0,F,2.0,5.0,1.0,2020-03-28,6,28,3,20,4.0,23.0,10
134,134,9133,A1_11395,HHA1_11395,32.0,F,A1_11395002,55.0,64.0,M,2.0,5.0,1.0,2020-03-28,6,28,3,20,9.0,61.0,10
135,135,9134,A1_11395,HHA1_11395,32.0,F,A1_11395003,35.0,44.0,M,2.0,5.0,1.0,2020-03-28,6,28,3,20,9.0,40.0,10
136,136,9135,A1_11395,HHA1_11395,32.0,F,A1_11395004,35.0,44.0,M,2.0,5.0,1.0,2020-03-28,6,28,3,20,9.0,39.0,10
137,137,9136,A1_11395,HHA1_11395,32.0,F,A1_11395005,55.0,64.0,M,2.0,5.0,1.0,2020-03-28,6,28,3,20,9.0,59.0,10
138,138,9137,A1_11395,HHA1_11395,32.0,F,A1_11395006,55.0,64.0,F,1.0,3.0,1.0,2020-03-28,6,28,3,20,9.0,56.0,10
139,139,9138,A1_11395,HHA1_11395,32.0,F,A1_11395007,45.0,54.0,M,1.0,2.0,1.0,2020-03-28,6,28,3,20,9.0,54.0,10
140,140,9139,A1_11395,HHA1_11395,32.0,F,A1_11395008,25.0,34.0,M,2.0,3.0,1.0,2020-03-28,6,28,3,20,9.0,30.0,10
141,141,9140,A1_11395,HHA1_11395,32.0,F,A1_11395009,45.0,54.0,M,2.0,2.0,1.0,2020-03-28,6,28,3,20,9.0,54.0,10
142,142,9141,A1_11395,HHA1_11395,32.0,F,A1_11395010,25.0,34.0,M,1.0,5.0,1.0,2020-03-28,6,28,3,20,9.0,29.0,10
143,143,9142,A1_11396,HHA1_11396,34.0,F,,,,,,,1.0,2020-03-27,5,27,3,20,,,0
144,144,9143,A1_11397,HHA1_11397,28.0,F,A1_11397001,20.0,24.0,F,1.0,5.0,3.0,2020-03-28,6,28,3,20,4.0,23.0,4
145,145,9144,A1_11397,HHA1_11397,28.0,F,A1_11397002,25.0,34.0,M,1.0,5.0,3.0,2020-03-28,6,28,3,20,9.0,31.0,4
146,146,9145,A1_11397,HHA1_11397,28.0,F,A1_11397003,45.0,54.0,F,1.0,5.0,3.0,2020-03-28,6,28,3,20,9.0,51.0,4
147,147,9146,A1_11397,HHA1_11397,28.0,F,A1_11397004,45.0,54.0,M,1.0,5.0,3.0,2020-03-28,6,28,3,20,9.0,47.0,4
148,148,9147,A1_11398,HHA1_11398,28.0,F,,,,,,,3.0,2020-03-26,4,26,3,20,,,0
149,149,9148,A1_11399,HHA1_11399,60.0,F,A1_11399001,,,,2.0,1.0,1.0,2020-03-27,5,27,3,20,,58.0,1
150,150,9149,A1_11400,HHA1_11400,20.0,F,A1_11400001,35.0,44.0,M,2.0,5.0,4.0,2020-03-26,4,26,3,20,9.0,41.0,3
151,151,9150,A1_11400,HHA1_11400,20.0,F,A1_11400002,10.0,14.0,M,2.0,1.0,4.0,2020-03-26,4,26,3,20,4.0,14.0,3
152,152,9151,A1_11400,HHA1_11400,20.0,F,A1_11400003,35.0,44.0,F,2.0,4.0,4.0,2020-03-26,4,26,3,20,9.0,43.0,3
153,153,9152,A1_11401,HHA1_11401,44.0,M,A1_11401001,35.0,44.0,M,2.0,2.0,4.0,2020-03-27,5,27,3,20,9.0,36.0,9
154,154,9153,A1_11401,HHA1_11401,44.0,M,A1_11401002,35.0,44.0,F,1.0,5.0,4.0,2020-03-27,5,27,3,20,9.0,40.0,9
155,155,9154,A1_11401,HHA1_11401,44.0,M,A1_11401003,5.0,9.0,F,1.0,5.0,4.0,2020-03-27,5,27,3,20,4.0,6.0,9
156,156,9155,A1_11401,HHA1_11401,44.0,M,A1_11401004,45.0,54.0,F,2.0,5.0,4.0,2020-03-27,5,27,3,20,9.0,51.0,9
157,157,9156,A1_11401,HHA1_11401,44.0,M,A1_11401005,45.0,54.0,F,2.0,5.0,4.0,2020-03-27,5,27,3,20,9.0,51.0,9
158,158,9157,A1_11401,HHA1_11401,44.0,M,A1_11401006,45.0,54.0,F,2.0,5.0,4.0,2020-03-27,5,27,3,20,9.0,47.0,9
159,159,9158,A1_11401,HHA1_11401,44.0,M,A1_11401007,35.0,44.0,F,2.0,2.0,4.0,2020-03-27,5,27,3,20,9.0,35.0,9
160,160,9159,A1_11401,HHA1_11401,44.0,M,A1_11401008,20.0,24.0,F,2.0,5.0,4.0,2020-03-27,5,27,3,20,4.0,22.0,9
161,161,9160,A1_11401,HHA1_11401,44.0,M,A1_11401009,45.0,54.0,F,2.0,2.0,4.0,2020-03-27,5,27,3,20,9.0,47.0,9
162,162,9161,A1_11402,HHA1_11402,28.0,F,A1_11402001,45.0,54.0,M,2.0,5.0,3.0,2020-03-27,5,27,3,20,9.0,48.0,4
163,163,9162,A1_11402,HHA1_11402,28.0,F,A1_11402002,15.0,19.0,F,2.0,5.0,3.0,2020-03-27,5,27,3,20,4.0,19.0,4
164,164,9163,A1_11402,HHA1_11402,28.0,F,A1_11402003,20.0,24.0,M,2.0,4.0,3.0,2020-03-27,5,27,3,20,4.0,21.0,4
165,165,9164,A1_11402,HHA1_11402,28.0,F,A1_11402004,45.0,54.0,M,2.0,5.0,3.0,2020-03-27,5,27,3,20,9.0,45.0,4
166,166,9165,A1_11403,HHA1_11403,60.0,M,A1_11403001,45.0,54.0,F,2.0,5.0,4.0,2020-03-26,4,26,3,20,9.0,52.0,4
167,167,9166,A1_11403,HHA1_11403,60.0,M,A1_11403002,15.0,19.0,M,2.0,5.0,4.0,2020-03-26,4,26,3,20,4.0,19.0,4
168,168,9167,A1_11403,HHA1_11403,60.0,M,A1_11403003,10.0,14.0,F,2.0,5.0,4.0,2020-03-26,4,26,3,20,4.0,13.0,4
169,169,9168,A1_11403,HHA1_11403,60.0,M,A1_11403004,,,,2.0,1.0,4.0,2020-03-26,4,26,3,20,,41.0,4
170,170,9169,A1_11404,HHA1_11404,76.0,M,A1_11404001,35.0,44.0,M,1.0,4.0,3.0,2020-03-26,4,26,3,20,9.0,41.0,1
